0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:07:53 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:07:55 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 500 2808
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:07:55 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:08:46 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:08:47 +0530] "GET /Cleansheet/Advanced.jsp HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:08:47 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:08:49 +0530] "GET /Cleansheet/Param.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:08:49 +0530] "GET /Cleansheet/Capex.jsp HTTP/1.1" 500 2777
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:08:49 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:00 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:01 +0530] "GET /Cleansheet/uploadFreight.jsp HTTP/1.1" 500 2858
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:01 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:02 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:04 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 500 2808
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:04 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:05 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:30 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:30 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:33 +0530] "GET /Cleansheet/Logout HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:33 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:38 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:09:39 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:10:07 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:10:07 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 304 -
