0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:08:59 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3928
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:08:59 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:08:59 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:08:59 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:08:59 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:08:59 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:09:39 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:09:40 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:09:40 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:09:40 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 200 150415
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:09:40 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:09:40 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:06 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:06 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:06 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:06 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:06 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 200 150410
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:06 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:10 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:10 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:10 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:10 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:10 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:10:10 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 200 150410
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:13:53 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:13:53 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:13:53 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:13:53 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:13:53 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 200 150406
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:13:53 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:13:56 +0530] "GET /Cleansheet/Auto.jsp HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:13:56 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:14:08 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 200 3883
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:14:08 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:14:14 +0530] "GET /Cleansheet/Auto.jsp HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:14:14 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:12:14:39 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3906
